xmj
0.333333 0.000000 0.333333 0.000000 0.000000 0.333333 
---------

---------
xri
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
---------

---------
xrj
0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 
---------

---------
T before rotate
2.000000 -0.166667 -0.333333 0.000000 0.000000 -0.333333 1.944444 -0.057143 -0.342857 -0.171429 -0.057143 1.771429 -0.021505 -0.198925 -0.693548 1.770609 -0.445344 -0.036437 1.521592 -0.411086 0.659867 
---------
i: 0, j: 1, kIndex: 1, s: 0.16, tVec[1]: -0.33, c: 0.95, r: -0.17, matrixXY[1]: -0.21
i: 0, j: 2, kIndex: 2, s: 0.16, tVec[2]: 0.33, c: 0.95, r: -0.33, matrixXY[2]: -0.26
i: 0, j: 3, kIndex: 3, s: 0.16, tVec[3]: -0.33, c: 0.95, r: 0.00, matrixXY[3]: -0.05
i: 0, j: 4, kIndex: 4, s: 0.16, tVec[4]: 0.00, c: 0.95, r: 0.00, matrixXY[4]: 0.00
i: 0, j: 5, kIndex: 5, s: 0.16, tVec[5]: 0.33, c: 0.95, r: -0.33, matrixXY[5]: -0.26
i: 1, j: 2, kIndex: 7, s: -0.13, tVec[2]: 0.44, c: 0.96, r: -0.06, matrixXY[7]: -0.11
i: 1, j: 3, kIndex: 8, s: -0.13, tVec[3]: -0.33, c: 0.96, r: -0.34, matrixXY[8]: -0.29
